Nome do modelo,H(m),Inclinação(graus),Coesao(kPa),Ângulo de atrito(graus),Peso específico (kN/m³),Fator de Segurança
modelo_n_0181.hjs,106.643,50.6775,256.95,16.025,21.75,1.191110901
modelo_n_0182.hjs,73.379,41.4925,165.75,4.175,23.77,0.807909661
modelo_n_0183.hjs,189.407,7.3925,286.95,22.825,20.91,4.520704112
modelo_n_0184.hjs,26.651,46.6625,248.25,27.075,24.41,3.560120109
modelo_n_0185.hjs,106.049,44.7375,74.85,17.725,25.47,0.667852312
modelo_n_0186.hjs,11.999,56.5625,169.35,14.475,28.57,5.7233828
modelo_n_0187.hjs,191.585,57.0575,120.45,11.125,29.67,0.36027877
modelo_n_0188.hjs,114.959,18.0625,242.55,18.875,18.79,2.326883323
modelo_n_0189.hjs,107.039,10.8575,58.35,5.525,23.65,0.831954278
modelo_n_0190.hjs,88.427,32.8575,97.05,2.625,11.07,0.799000081
modelo_n_0191.hjs,30.809,57.8275,223.35,9.175,13.69,6.725801918
modelo_n_0192.hjs,125.057,55.7375,257.85,21.625,15.79,1.489227616
modelo_n_0193.hjs,173.963,52.9875,298.05,33.925,13.21,1.741674506
modelo_n_0194.hjs,22.295,52.3825,259.95,6.425,16.65,7.359409336
modelo_n_0195.hjs,136.739,8.2725,129.15,20.775,28.47,3.295064934
modelo_n_0196.hjs,168.023,52.8775,166.35,42.325,23.49,1.305128253
modelo_n_0197.hjs,5.663,13.6625,250.65,26.025,19.75,21.14027153
modelo_n_0198.hjs,6.851,56.0675,158.55,39.925,18.85,14.24058269
modelo_n_0199.hjs,88.031,55.1875,118.95,27.575,15.65,1.204909424
modelo_n_0200.hjs,23.879,58.2675,81.45,9.975,26.75,1.519347624
modelo_n_0201.hjs,63.281,37.4775,108.75,28.675,28.79,1.446849081
modelo_n_0202.hjs,115.553,52.7125,223.05,12.875,10.61,1.864577462
modelo_n_0203.hjs,97.733,34.9475,200.25,4.875,24.47,0.774669015
modelo_n_0204.hjs,116.543,27.4675,8.25,34.975,24.59,1.456321885
modelo_n_0205.hjs,29.423,12.6725,113.25,20.075,17.63,3.996331154
modelo_n_0206.hjs,120.701,32.7475,281.25,12.725,29.79,1.096044199
modelo_n_0207.hjs,53.381,37.8625,121.35,30.625,23.71,1.811527108
modelo_n_0208.hjs,179.111,43.4175,241.95,9.775,21.69,0.724900749
modelo_n_0209.hjs,168.617,48.7525,295.35,15.275,25.71,0.864239543
modelo_n_0210.hjs,133.571,28.0725,143.85,4.275,12.77,0.816651038
modelo_n_0211.hjs,36.749,45.5075,37.35,33.025,24.07,1.212399563
modelo_n_0212.hjs,115.355,53.0975,294.45,31.025,17.49,1.761541714
modelo_n_0213.hjs,98.129,23.1225,132.45,7.825,14.23,1.180735496
modelo_n_0214.hjs,82.487,44.4625,292.35,31.175,15.09,2.630254422
modelo_n_0215.hjs,134.561,40.2275,154.05,24.075,27.19,1.056914998
modelo_n_0216.hjs,5.465,50.4025,61.05,31.925,11.77,10.1477505
modelo_n_0217.hjs,159.707,30.7675,297.75,27.475,27.15,1.725441317
modelo_n_0218.hjs,87.041,44.5725,133.05,33.275,14.01,1.792609637
modelo_n_0219.hjs,133.769,42.7575,76.95,7.425,11.91,0.561469957
modelo_n_0220.hjs,42.689,40.1175,19.95,31.825,20.65,1.120408968
modelo_n_0221.hjs,14.771,22.3525,202.05,30.925,21.43,6.829478397
modelo_n_0222.hjs,144.461,25.9275,46.95,42.475,21.57,2.258107202
modelo_n_0223.hjs,32.987,51.6675,213.75,31.225,13.49,4.962363412
modelo_n_0224.hjs,31.205,35.1125,95.85,37.225,10.87,3.665777465
modelo_n_0225.hjs,145.451,54.8575,0.45,32.425,22.69,0.46071808
modelo_n_0226.hjs,83.477,43.8575,2.25,44.025,19.97,1.074681393
modelo_n_0227.hjs,7.445,42.1525,96.15,38.325,19.41,6.004165424
modelo_n_0228.hjs,50.213,16.6325,274.35,5.475,12.89,3.629812775
modelo_n_0229.hjs,150.995,24.8825,47.55,4.025,29.97,0.286085162
modelo_n_0230.hjs,122.285,55.6825,244.65,35.925,26.93,1.325371956
modelo_n_0231.hjs,92.387,22.0225,217.35,36.125,19.33,3.370442497
modelo_n_0232.hjs,136.343,7.6125,182.25,38.075,18.41,7.374124867
modelo_n_0233.hjs,155.549,49.1925,259.35,20.325,29.95,0.892790832
modelo_n_0234.hjs,193.961,58.4325,130.35,40.025,26.61,0.937219759
modelo_n_0235.hjs,106.445,17.6225,142.05,38.225,24.19,3.45093853
modelo_n_0236.hjs,51.599,37.3125,235.95,43.575,10.97,4.900470513
modelo_n_0237.hjs,167.627,53.8675,195.45,38.975,12.17,1.625848785
modelo_n_0238.hjs,155.153,41.2725,66.15,38.125,25.93,1.227995368
modelo_n_0239.hjs,176.735,40.6675,239.25,9.425,23.87,0.702984174
modelo_n_0240.hjs,81.695,39.0175,263.25,27.675,24.39,1.927083833
modelo_n_0241.hjs,126.641,35.6625,40.95,23.225,12.75,0.979297041
modelo_n_0242.hjs,82.685,27.3575,219.15,27.175,29.21,2.069463829
modelo_n_0243.hjs,58.727,59.9725,146.85,46.375,16.81,2.115683616
modelo_n_0244.hjs,3.683,44.5175,186.15,33.325,19.05,22.53767137
